date,value
1/1/2016 0:00,0.255
1/1/2016 1:00,0.264
1/1/2016 2:00,0.253
1/1/2016 3:00,0.25
1/1/2016 4:00,0.234
1/1/2016 5:00,0.249
1/1/2016 6:00,0.297
1/1/2016 7:00,0.323
1/1/2016 8:00,0.423
1/1/2016 9:00,0.418
1/1/2016 10:00,0.418
1/1/2016 11:00,0.431
1/1/2016 12:00,0.424
1/1/2016 13:00,0.424
1/1/2016 14:00,0.426
1/1/2016 15:00,0.419
1/1/2016 16:00,0.423
1/1/2016 17:00,0.434
1/1/2016 18:00,0.393
1/1/2016 19:00,0.367
1/1/2016 20:00,0.356
1/1/2016 21:00,0.313
1/1/2016 22:00,0.288
1/1/2016 23:00,0.284
2/1/2016 0:00,0.28
2/1/2016 1:00,0.281
2/1/2016 2:00,0.288
2/1/2016 3:00,0.287
2/1/2016 4:00,0.329
2/1/2016 5:00,0.389
2/1/2016 6:00,0.541
2/1/2016 7:00,0.563
2/1/2016 8:00,0.631
2/1/2016 9:00,0.663
2/1/2016 10:00,0.657
2/1/2016 11:00,0.745
2/1/2016 12:00,0.76
2/1/2016 13:00,0.715
2/1/2016 14:00,0.73
2/1/2016 15:00,0.717
2/1/2016 16:00,0.693
2/1/2016 17:00,0.67
2/1/2016 18:00,0.656
2/1/2016 19:00,0.623
2/1/2016 20:00,0.602
2/1/2016 21:00,0.499
2/1/2016 22:00,0.39
2/1/2016 23:00,0.332
3/1/2016 0:00,0.295
3/1/2016 1:00,0.299
3/1/2016 2:00,0.311
3/1/2016 3:00,0.304
3/1/2016 4:00,0.293
3/1/2016 5:00,0.369
3/1/2016 6:00,0.515
3/1/2016 7:00,0.622
3/1/2016 8:00,0.795
3/1/2016 9:00,0.844
3/1/2016 10:00,0.873
3/1/2016 11:00,0.859
3/1/2016 12:00,0.853
3/1/2016 13:00,0.865
3/1/2016 14:00,0.903
3/1/2016 15:00,0.898
3/1/2016 16:00,0.889
3/1/2016 17:00,0.854
3/1/2016 18:00,0.837
3/1/2016 19:00,0.76
3/1/2016 20:00,0.687
3/1/2016 21:00,0.544
3/1/2016 22:00,0.354
3/1/2016 23:00,0.295
4/1/2016 0:00,0.295
4/1/2016 1:00,0.291
4/1/2016 2:00,0.29
4/1/2016 3:00,0.32
4/1/2016 4:00,0.292
4/1/2016 5:00,0.37
4/1/2016 6:00,0.526
4/1/2016 7:00,0.729
4/1/2016 8:00,0.821
4/1/2016 9:00,0.85
4/1/2016 10:00,0.826
4/1/2016 11:00,0.857
4/1/2016 12:00,0.866
4/1/2016 13:00,0.845
4/1/2016 14:00,0.853
4/1/2016 15:00,0.889
4/1/2016 16:00,0.88
4/1/2016 17:00,0.86
4/1/2016 18:00,0.846
4/1/2016 19:00,0.824
4/1/2016 20:00,0.791
4/1/2016 21:00,0.597
4/1/2016 22:00,0.39
4/1/2016 23:00,0.323
5/1/2016 0:00,0.318
5/1/2016 1:00,0.325
5/1/2016 2:00,0.32
5/1/2016 3:00,0.346
5/1/2016 4:00,0.322
5/1/2016 5:00,0.347
5/1/2016 6:00,0.582
5/1/2016 7:00,0.679
5/1/2016 8:00,0.739
5/1/2016 9:00,0.823
5/1/2016 10:00,0.815
5/1/2016 11:00,0.819
5/1/2016 12:00,0.811
5/1/2016 13:00,0.805
5/1/2016 14:00,0.805
5/1/2016 15:00,0.805
5/1/2016 16:00,0.812
5/1/2016 17:00,0.822
5/1/2016 18:00,0.806
5/1/2016 19:00,
5/1/2016 20:00,
5/1/2016 21:00,
5/1/2016 22:00,
5/1/2016 23:00,
6/1/2016 0:00,
6/1/2016 1:00,
6/1/2016 2:00,
6/1/2016 3:00,
6/1/2016 4:00,
6/1/2016 5:00,
6/1/2016 6:00,
6/1/2016 7:00,
6/1/2016 8:00,
6/1/2016 9:00,
6/1/2016 10:00,
6/1/2016 11:00,
6/1/2016 12:00,
6/1/2016 13:00,
6/1/2016 14:00,
6/1/2016 15:00,
6/1/2016 16:00,
6/1/2016 17:00,
6/1/2016 18:00,
6/1/2016 19:00,
6/1/2016 20:00,
6/1/2016 21:00,
6/1/2016 22:00,
6/1/2016 23:00,
7/1/2016 0:00,
7/1/2016 1:00,
7/1/2016 2:00,
7/1/2016 3:00,
7/1/2016 4:00,
7/1/2016 5:00,
7/1/2016 6:00,
